Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;3PA;2P;2PA;eFG%;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Salary_23-24
1;Precious Achiuwa;C;22;TOR;73;28;23.6;3.6;8.3;0.8;2.1;2.9;6.1;.486;1.1;1.8;2.0;4.5;6.5;1.1;0.5;0.6;1.2;2.1;9.1;4379527
2;Steven Adams;C;28;MEM;76;75;26.3;2.8;5.1;0.0;0.0;2.8;5.0;.547;1.4;2.6;4.6;5.4;10.0;3.4;0.9;0.8;1.5;2.0;6.9;12600000
3;Bam Adebayo;C;24;MIA;56;56;32.6;7.3;13.0;0.0;0.1;7.3;12.9;.557;4.6;6.1;2.4;7.6;10.1;3.4;1.4;0.8;2.6;3.1;19.1;32600060
4;Santi Aldama;PF;21;MEM;32;0;11.3;1.7;4.1;0.2;1.5;1.5;2.6;.424;0.6;1.0;1.0;1.7;2.7;0.7;0.2;0.3;0.5;1.1;4.1;2194200
5;Grayson Allen;SG;26;MIL;66;61;27.3;3.9;8.6;2.4;5.9;1.5;2.7;.588;1.0;1.1;0.5;2.9;3.4;1.5;0.7;0.3;0.7;1.5;11.1;8500000
6;Jarrett Allen;C;23;CLE;56;56;32.3;6.6;9.7;0.0;0.2;6.6;9.6;.678;2.9;4.2;3.4;7.3;10.8;1.6;0.8;1.3;1.7;1.7;16.1;20000000
7;Jose Alvarado;PG;23;NOP;54;1;15.4;2.4;5.4;0.6;2.0;1.8;3.4;.500;0.7;1.0;0.5;1.4;1.9;2.8;1.3;0.1;0.7;1.4;6.1;1836096
8;Kyle Anderson;PF;28;MEM;69;11;21.5;3.0;6.8;0.5;1.6;2.5;5.2;.484;1.0;1.5;1.0;4.3;5.3;2.7;1.1;0.7;1.0;1.6;7.6;9219512
9;Giannis Antetokounmpo;PF;27;MIL;67;67;32.9;10.3;18.6;1.1;3.6;9.2;15.0;.582;8.3;11.4;2.0;9.6;11.6;5.8;1.1;1.4;3.3;3.2;29.9;45640084
10;Cole Anthony;PG;21;ORL;65;65;31.7;5.5;14.0;2.0;6.0;3.5;8.0;.464;3.3;3.9;0.5;4.9;5.4;5.7;0.7;0.3;2.6;2.6;16.3;5539771
11;OG Anunoby;SF;24;TOR;48;48;36.0;6.4;14.5;2.4;6.6;4.0;7.9;.526;1.9;2.5;1.5;4.0;5.5;2.6;1.5;0.5;1.7;2.7;17.1;18642857
12;Deni Avdija;SF;21;WAS;82;8;24.2;3.0;7.1;1.0;3.2;2.0;3.9;.503;1.3;1.7;0.6;4.5;5.2;2.0;0.7;0.5;1.1;2.3;8.4;6263188
13;Deandre Ayton;C;23;PHO;58;58;29.5;7.6;12.0;0.1;0.3;7.5;11.7;.639;1.8;2.4;2.6;7.7;10.2;1.4;0.7;0.7;1.6;2.4;17.2;32459438
14;Marvin Bagley III;PF;22;TOT;48;25;24.0;4.7;9.3;0.5;2.0;4.2;7.3;.530;1.4;2.1;2.2;4.9;7.0;0.8;0.5;0.4;0.8;1.9;11.3;12500000
15;LaMelo Ball;PG;20;CHO;75;75;32.3;7.2;16.7;2.9;7.5;4.2;9.2;.517;2.8;3.2;1.4;5.2;6.7;7.6;1.6;0.4;3.3;3.2;20.1;10900635
16;Lonzo Ball;PG;24;CHI;35;35;34.6;4.6;10.9;3.1;7.4;1.5;3.5;.567;0.6;0.8;1.0;4.4;5.4;5.1;1.8;0.9;2.3;2.4;13.0;20465117
17;Desmond Bane;SG;23;MEM;76;76;29.8;6.7;14.5;3.0;6.9;3.7;7.6;.565;1.8;2.0;0.6;3.8;4.4;2.7;1.2;0.4;1.5;2.6;18.2;3845083
18;Harrison Barnes;PF;29;SAC;77;77;33.5;5.1;10.8;1.8;4.7;3.2;6.2;.554;4.4;5.4;1.1;4.5;5.6;2.4;0.7;0.2;1.5;1.2;16.4;17000000
19;Scottie Barnes;PF;20;TOR;74;74;35.4;6.2;12.6;0.8;2.6;5.4;10.0;.524;2.1;2.9;2.6;4.9;7.5;3.5;1.1;0.7;1.8;2.6;15.3;8008680
20;RJ Barrett;SF;21;NYK;70;70;34.5;7.0;17.1;2.0;5.8;5.0;11.3;.466;4.1;5.8;0.9;4.9;5.8;3.0;0.6;0.2;2.2;2.0;20.0;23883929
21;Charles Bassey;C;21;PHI;23;0;7.3;1.3;2.0;0.0;0.2;1.3;1.9;.638;0.4;0.5;1.0;1.7;2.7;0.3;0.2;0.7;0.3;1.4;3.0;2600000
22;Nicolas Batum;PF;33;LAC;59;54;24.8;3.0;6.6;1.8;4.6;1.2;2.0;.602;0.4;0.6;0.5;3.8;4.3;1.7;1.0;0.7;0.7;1.4;8.3;11710818
23;Bradley Beal;SG;28;WAS;40;40;36.0;8.7;19.3;1.6;5.3;7.1;14.0;.492;4.2;5.1;1.0;3.8;4.7;6.6;0.9;0.4;3.4;2.4;23.2;46741590
24;Dāvis Bertāns;PF;29;TOT;56;0;14.4;1.8;4.9;1.4;4.1;0.4;0.8;.500;0.6;0.7;0.2;1.9;2.1;0.6;0.3;0.2;0.3;1.5;5.6;17000000
25;Saddiq Bey;SF;22;DET;82;82;33.0;5.5;13.9;2.6;7.4;2.9;6.4;.489;2.6;3.1;1.3;4.1;5.4;2.8;0.9;0.2;1.2;1.6;16.1;4556983
26;Khem Birch;C;29;TOR;55;28;18.0;1.8;3.6;0.0;0.3;1.8;3.4;.485;1.0;1.3;2.2;2.1;4.3;1.0;0.5;0.5;0.5;1.9;4.5;6985000
27;Goga Bitadze;C;22;IND;50;16;14.6;2.6;5.0;0.5;1.6;2.2;3.4;.565;1.3;1.9;1.6;2.0;3.5;1.1;0.4;0.8;0.9;2.1;7.0;2066585
28;Eric Bledsoe;PG;32;LAC;54;29;25.2;3.6;8.7;0.9;3.0;2.7;5.6;.475;1.6;2.2;0.5;2.9;3.4;4.2;1.3;0.4;2.1;1.6;9.9;1300000
29;Bogdan Bogdanović;SG;29;ATL;63;27;29.3;5.4;12.6;2.7;7.3;2.7;5.3;.537;1.5;1.8;0.5;3.5;4.0;3.1;1.1;0.2;1.1;2.1;15.1;18000000
30;Bojan Bogdanović;PF;32;UTA;69;69;30.9;6.1;13.4;2.6;6.8;3.5;6.7;.552;3.2;3.8;0.8;3.4;4.3;1.7;0.5;0.0;1.7;1.7;18.1;20000000
31;Devin Booker;SG;25;PHO;68;68;34.5;9.7;20.9;2.7;7.0;7.0;13.9;.530;4.6;5.3;0.7;4.4;5.0;4.8;1.1;0.4;2.4;2.6;26.8;36016200
32;Brandon Boston Jr.;SG;20;LAC;51;0;14.9;2.5;6.4;0.7;2.2;1.8;4.2;.437;1.2;1.4;0.3;1.8;2.2;1.0;0.5;0.3;0.6;0.8;6.7;1836096
33;Chris Boucher;SF;29;TOR;80;9;21.1;3.4;7.2;0.9;2.9;2.5;4.4;.523;1.9;2.4;2.2;3.9;6.2;0.3;0.6;0.9;0.5;2.2;9.4;11750000
34;James Bouknight;SG;21;CHO;31;0;9.8;1.6;4.5;0.5;1.6;1.0;3.0;.408;0.9;1.0;0.7;1.0;1.7;0.8;0.2;0.0;0.5;0.9;4.6;4570080
35;Mikal Bridges;SF;25;PHO;82;82;34.8;5.6;10.5;1.4;3.8;4.2;6.7;.601;1.6;1.9;0.9;3.3;4.2;2.3;1.2;0.4;0.8;1.8;14.2;21700000
